City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kodiak,US,2022-03-24 02:57:02,57.79,-152.4072,32.77,63,67,8.46
1,Punta Arenas,CL,2022-03-24 02:57:02,-53.15,-70.9167,46.51,49,0,17.27
2,Polunochnoye,RU,2022-03-24 02:57:02,60.8697,60.4153,15.71,79,31,6.73
3,Tual,ID,2022-03-24 02:57:03,-5.6667,132.75,79.68,85,100,24.47
4,Rikitea,PF,2022-03-24 02:57:03,-23.1203,-134.9692,79.54,71,100,13.29
5,Hilo,US,2022-03-24 02:55:17,19.7297,-155.09,73.13,93,100,9.22
6,Cockburn Town,TC,2022-03-24 02:56:33,21.4612,-71.1419,77.95,77,0,24.61
7,Pavino,RU,2022-03-24 02:57:04,59.1139,46.1414,28.76,90,100,5.77
8,Ushuaia,AR,2022-03-24 02:55:13,-54.8,-68.3,47.86,40,75,16.11
9,Awjilah,LY,2022-03-24 02:57:05,29.1081,21.2869,48.87,69,0,7.9
10,Castro,BR,2022-03-24 02:57:05,-24.7911,-50.0119,63.19,93,95,4.16
11,Mataura,NZ,2022-03-24 02:57:06,-46.1927,168.8643,62.01,51,9,9.46
12,Puerto Ayora,EC,2022-03-24 02:57:06,-0.7393,-90.3518,78.48,81,54,7.18
13,Qaanaaq,GL,2022-03-24 02:57:07,77.484,-69.3632,-12.23,81,99,7.16
14,Yarada,IN,2022-03-24 02:57:07,17.65,83.2667,82.72,89,75,5.75
15,Fortuna,US,2022-03-24 02:57:08,40.5982,-124.1573,51.93,87,0,9.22
16,Barrow,US,2022-03-24 02:57:08,71.2906,-156.7887,-7.8,90,6,16.67
17,Butaritari,KI,2022-03-24 02:57:09,3.0707,172.7902,80.71,78,24,12.5
18,Bejar,ES,2022-03-24 02:54:25,40.3864,-5.7634,42.76,92,100,7.34
19,Busselton,AU,2022-03-24 02:57:10,-33.65,115.3333,73.76,39,0,11.5
20,Nouakchott,MR,2022-03-24 02:57:10,18.0858,-15.9785,66.13,57,0,14.45
21,Matara,LK,2022-03-24 02:57:10,5.9485,80.5353,83.32,68,75,6.46
22,Upernavik,GL,2022-03-24 02:57:11,72.7868,-56.1549,-14.89,91,47,5.19
23,Tiksi,RU,2022-03-24 02:57:12,71.6872,128.8694,-3.37,94,95,2.8
24,Hermanus,ZA,2022-03-24 02:57:12,-34.4187,19.2345,66.79,88,84,9.44
25,Igarka,RU,2022-03-24 02:57:13,67.4667,86.5833,11.77,94,95,12.08
26,Mezen,RU,2022-03-24 02:57:14,65.8522,44.24,30.38,98,100,5.73
27,Vieques,PR,2022-03-24 02:57:14,18.425,-65.8329,74.89,80,5,13.31
28,Scarborough,GB,2022-03-24 02:53:19,54.2797,-0.4044,50.32,79,6,5.41
29,College,US,2022-03-24 02:57:15,64.8569,-147.8028,19.38,46,20,10.36
30,Ponta Do Sol,PT,2022-03-24 02:57:15,32.6667,-17.1,63.05,67,23,10.38
31,Le Mars,US,2022-03-24 02:57:16,42.7942,-96.1656,34.57,100,100,13.8
32,Norman Wells,CA,2022-03-24 02:57:16,65.282,-126.8329,5.04,61,20,10.36
33,Mackenzie,CA,2022-03-24 02:57:17,55.2999,-123.1698,39.42,48,75,6.91
34,Krasnoarmeyskiy,RU,2022-03-24 02:57:17,47.0114,42.2072,28.72,65,0,7.78
35,Albany,US,2022-03-24 02:57:18,42.6001,-73.9662,41.79,76,100,1.99
36,Praia Da Vitoria,PT,2022-03-24 02:57:18,38.7333,-27.0667,57.76,88,75,8.08
37,Tuktoyaktuk,CA,2022-03-24 02:57:18,69.4541,-133.0374,-13.0,70,20,19.57
38,Pevek,RU,2022-03-24 02:57:19,69.7008,170.3133,22.59,84,100,1.32
39,Russell,US,2022-03-24 02:57:19,32.3502,-85.1999,63.91,72,84,4.56
40,Tura,IN,2022-03-24 02:57:20,25.5198,90.2201,81.48,48,1,10.07
41,West Plains,US,2022-03-24 02:57:20,36.7281,-91.8524,40.03,82,100,10.36
42,Bredasdorp,ZA,2022-03-24 02:57:21,-34.5322,20.0403,67.51,85,97,6.11
43,Ulladulla,AU,2022-03-24 02:57:21,-35.35,150.4667,66.78,86,100,0.74
44,Khatanga,RU,2022-03-24 02:58:21,71.9667,102.5,6.01,94,100,5.28
45,Bage,BR,2022-03-24 02:58:22,-31.3314,-54.1069,69.58,94,0,10.36
46,Tashtyp,RU,2022-03-24 02:58:22,52.7939,89.8983,23.85,80,100,6.53
47,Lebu,CL,2022-03-24 02:58:23,-37.6167,-73.65,52.48,71,2,13.96
48,Azul,AR,2022-03-24 02:58:23,-36.777,-59.8585,56.34,99,92,1.74
49,Pavlogradka,RU,2022-03-24 02:58:23,54.2024,73.5592,26.69,97,100,14.85
50,Bengkulu,ID,2022-03-24 02:58:24,-3.8004,102.2655,83.3,62,23,4.21
51,Nikolskoye,RU,2022-03-24 02:58:24,59.7035,30.7861,32.88,96,13,4.14
52,Kasongo,CD,2022-03-24 02:58:25,-4.45,26.6667,65.84,97,41,1.7
53,Saint George,US,2022-03-24 02:54:09,37.1041,-113.5841,68.59,14,0,8.05
54,Taoudenni,ML,2022-03-24 02:58:25,22.6783,-3.9836,74.52,13,0,9.44
55,Bilibino,RU,2022-03-24 02:58:26,68.0546,166.4372,20.64,85,100,1.99
56,Jamestown,US,2022-03-24 02:57:48,42.097,-79.2353,47.01,70,100,13.8
57,Bay Roberts,CA,2022-03-24 02:58:27,47.5999,-53.2648,31.05,81,100,5.01
58,Port Alfred,ZA,2022-03-24 02:58:27,-33.5906,26.891,71.76,89,100,13.94
59,Makakilo City,US,2022-03-24 02:58:28,21.3469,-158.0858,76.75,63,75,11.5
60,Nioro,GM,2022-03-24 02:58:28,13.35,-15.75,72.27,38,1,5.08
61,Ponta Delgada,PT,2022-03-24 02:58:28,37.7333,-25.6667,59.5,72,75,4.61
62,Mehamn,NO,2022-03-24 02:58:29,71.0357,27.8492,24.19,60,98,15.14
63,Almaznyy,RU,2022-03-24 02:58:29,48.0448,40.045,31.51,61,0,5.26
64,Quatre Cocos,MU,2022-03-24 02:58:30,-20.2078,57.7625,79.09,74,64,11.99
65,Cape Town,ZA,2022-03-24 02:57:25,-33.9258,18.4232,66.61,86,40,13.8
66,Duayaw Nkwanta,GH,2022-03-24 02:58:30,7.1724,-2.1028,73.02,93,89,3.33
67,Dikson,RU,2022-03-24 02:58:31,73.5069,80.5464,4.19,94,100,9.08
68,Praya,CV,2022-03-24 02:58:32,14.9215,-23.5087,68.54,73,20,19.57
69,Hilton Head Island,US,2022-03-24 02:57:40,32.2163,-80.7526,69.91,93,100,1.99
70,Snyder,US,2022-03-24 02:58:32,32.7179,-100.9176,50.34,29,0,12.66
71,Kefamenanu,ID,2022-03-24 02:58:33,-9.4467,124.4781,83.48,65,97,3.02
72,Port Blair,IN,2022-03-24 02:58:33,11.6667,92.75,84.24,79,40,4.61
73,Te Anau,NZ,2022-03-24 02:58:34,-45.4167,167.7167,62.6,43,7,3.65
74,Tupiza,BO,2022-03-24 02:58:34,-21.45,-65.7167,62.04,25,17,4.5
75,Sao Joao Da Barra,BR,2022-03-24 02:58:34,-21.6403,-41.0511,74.95,78,3,5.84
76,Gagnoa,CI,2022-03-24 02:58:35,6.1293,-5.9437,73.83,97,100,2.68
77,Vaini,TO,2022-03-24 02:58:35,-21.2,-175.2,78.96,94,100,11.5
78,Chuy,UY,2022-03-24 02:58:36,-33.6971,-53.4616,69.82,90,100,9.46
79,Cherskiy,RU,2022-03-24 02:58:36,68.75,161.3,18.61,92,100,5.68
80,San Vicente,AR,2022-03-24 02:58:38,-26.6167,-54.1333,67.5,97,72,6.8
81,Mogadishu,SO,2022-03-24 02:58:38,2.0371,45.3438,80.47,78,20,8.05
82,Nuuk,GL,2022-03-24 02:58:38,64.1835,-51.7216,-7.13,97,65,7.36
83,Bluff,NZ,2022-03-24 02:58:39,-46.6,168.3333,58.62,60,62,17.11
84,Hobart,AU,2022-03-24 02:58:39,-42.8794,147.3294,69.66,53,75,20.71
85,Sao Filipe,CV,2022-03-24 02:58:40,14.8961,-24.4956,69.22,73,1,10.74
86,Bagdarin,RU,2022-03-24 02:58:40,54.4333,113.6,24.12,69,100,2.73
87,Elbistan,TR,2022-03-24 02:58:40,38.2059,37.1983,24.62,74,48,2.62
88,Hithadhoo,MV,2022-03-24 02:55:24,-0.6,73.0833,83.71,66,0,18.32
89,New Norfolk,AU,2022-03-24 02:59:41,-42.7826,147.0587,69.3,49,81,5.99
90,Kiblawan,PH,2022-03-24 02:59:41,6.6142,125.2367,85.98,62,98,4.99
91,Carnarvon,AU,2022-03-24 02:59:42,-24.8667,113.6333,86.07,66,100,5.75
92,Bubaque,GW,2022-03-24 02:59:42,11.2833,-15.8333,74.17,73,10,8.77
93,Omboue,GA,2022-03-24 02:59:43,-1.5746,9.2618,78.22,85,82,4.18
94,Irbeyskoye,RU,2022-03-24 02:59:43,55.6428,95.4522,24.76,69,97,10.96
95,Thompson,CA,2022-03-24 02:59:44,55.7435,-97.8558,35.76,80,75,8.05
96,Yokadouma,CM,2022-03-24 02:59:44,3.5167,15.05,70.79,65,71,1.39
97,Kahramanmaras,TR,2022-03-24 02:59:45,38.0,37.0,21.36,89,82,3.74
98,Whitianga,NZ,2022-03-24 02:59:45,-36.8333,175.7,69.62,76,95,20.09
99,Georgetown,MY,2022-03-24 02:56:50,5.4112,100.3354,87.73,82,20,3.44
100,Saint-Philippe,RE,2022-03-24 02:59:46,-21.3585,55.7679,75.11,82,51,9.66
101,Sur,OM,2022-03-24 02:59:46,22.5667,59.5289,80.73,37,0,3.11
102,Macherla,IN,2022-03-24 02:59:47,16.4833,79.4333,84.04,64,11,9.17
103,Praxedis Guerrero,MX,2022-03-24 02:59:47,31.3667,-106.0167,53.78,21,0,4.56
104,Yellowknife,CA,2022-03-24 02:55:18,62.456,-114.3525,7.32,79,20,9.22
105,Saldanha,ZA,2022-03-24 02:59:48,-33.0117,17.9442,64.45,91,6,19.62
106,Tuatapere,NZ,2022-03-24 02:59:48,-46.1333,167.6833,59.0,60,83,9.8
107,Peleduy,RU,2022-03-24 02:59:49,59.6289,112.7406,28.85,89,99,2.82
108,Awbari,LY,2022-03-24 02:59:49,26.5921,12.7805,48.9,30,1,9.73
109,Ramnagar,IN,2022-03-24 02:59:50,29.4,79.1167,81.12,14,2,3.2
110,Labuan,MY,2022-03-24 02:59:50,5.2767,115.2417,84.56,79,20,3.44
111,Beringovskiy,RU,2022-03-24 02:59:51,63.05,179.3167,22.37,88,100,3.91
112,Mar Del Plata,AR,2022-03-24 02:59:51,-38.0023,-57.5575,69.1,96,100,11.99
113,Joetsu,JP,2022-03-24 02:59:52,37.1483,138.2364,46.98,75,78,7.25
114,Waraseoni,IN,2022-03-24 02:59:52,21.75,80.0333,86.4,14,23,8.03
115,Esperance,AU,2022-03-24 02:59:52,-33.8667,121.9,69.64,56,63,7.65
116,Port Elizabeth,ZA,2022-03-24 02:59:53,-33.918,25.5701,69.1,86,40,17.27
117,Anadyr,RU,2022-03-24 02:59:53,64.75,177.4833,10.9,85,20,4.47
118,Tasiilaq,GL,2022-03-24 02:59:54,65.6145,-37.6368,5.2,72,100,5.97
119,East London,ZA,2022-03-24 02:59:54,-33.0153,27.9116,71.85,78,99,13.44
120,Padang,ID,2022-03-24 02:59:55,-0.9492,100.3543,86.05,54,79,2.39
121,Kahului,US,2022-03-24 02:59:55,20.8947,-156.47,71.96,93,60,15.48
122,Michigan City,US,2022-03-24 02:59:56,41.7075,-86.895,49.21,88,100,20.71
123,Quimper,FR,2022-03-24 02:59:56,48.0,-4.1,45.16,75,0,5.75
124,Leshukonskoye,RU,2022-03-24 02:59:56,64.8989,45.7622,31.19,93,100,11.05
125,Valparaiso,CL,2022-03-24 02:55:42,-33.0393,-71.6273,61.48,60,0,5.75
126,Cumana,VE,2022-03-24 02:59:57,10.4635,-64.1775,75.38,83,10,13.69
127,Avarua,CK,2022-03-24 02:59:57,-21.2078,-159.775,82.45,74,40,11.5
128,Carlisle,US,2022-03-24 02:59:58,40.2015,-77.1889,45.99,90,100,3.0
129,Urumqi,CN,2022-03-24 02:59:58,43.801,87.6005,29.35,64,0,4.47
130,Cabo San Lucas,MX,2022-03-24 02:59:59,22.8909,-109.9124,73.51,47,0,1.99
131,Vostok,RU,2022-03-24 02:59:59,46.4856,135.8833,34.97,66,18,3.15
132,Joshimath,IN,2022-03-24 03:01:00,30.5667,79.5667,58.87,37,2,2.13
133,Micheweni,TZ,2022-03-24 03:01:00,-4.9667,39.8333,80.11,85,12,8.61
134,Puerto Escondido,MX,2022-03-24 03:01:01,15.85,-97.0667,79.11,81,2,2.48
135,Batagay-Alyta,RU,2022-03-24 03:01:01,67.8006,130.4114,-0.96,75,60,3.49
136,Bogorodskoye,RU,2022-03-24 03:01:02,56.55,37.8833,25.95,99,100,2.66
137,Henties Bay,NA,2022-03-24 03:01:02,-22.116,14.2845,64.36,92,15,5.73
138,Ahipara,NZ,2022-03-24 03:01:03,-35.1667,173.1667,70.59,74,17,18.05
139,Sola,VU,2022-03-24 03:01:03,-13.8833,167.55,82.65,71,96,7.78
140,Jalu,LY,2022-03-24 03:01:04,29.0331,21.5482,48.85,68,0,7.85
141,Atuona,PF,2022-03-24 03:01:04,-9.8,-139.0333,79.34,78,99,15.17
142,Gobabis,NA,2022-03-24 03:01:04,-22.45,18.9667,66.4,74,100,7.4
143,Mount Gambier,AU,2022-03-24 03:01:05,-37.8333,140.7667,62.31,51,90,5.39
144,Danane,CI,2022-03-24 03:01:05,7.2596,-8.155,70.79,96,86,1.23
145,Flinders,AU,2022-03-24 03:01:06,-34.5833,150.8552,70.18,84,100,1.99
146,Zhigansk,RU,2022-03-24 03:01:06,66.7697,123.3711,16.97,92,100,9.19
147,Kulu,TR,2022-03-24 03:01:07,39.0951,33.0799,30.29,78,56,7.27
148,Wangkui,CN,2022-03-24 03:01:07,46.8333,126.5,38.62,78,12,6.22
149,Ormara,PK,2022-03-24 03:01:08,25.2088,64.6357,76.6,66,0,9.1
150,Iqaluit,CA,2022-03-24 03:00:40,63.7506,-68.5145,13.69,72,100,17.0
151,Souillac,MU,2022-03-24 03:01:08,-20.5167,57.5167,79.18,83,40,5.75
152,Hamilton,US,2022-03-24 03:00:20,39.1834,-84.5333,52.09,69,59,5.01
153,Plettenberg Bay,ZA,2022-03-24 03:01:09,-34.0527,23.3716,65.82,91,29,6.26
154,Klaksvik,FO,2022-03-24 03:01:09,62.2266,-6.589,45.52,94,50,4.07
155,Coahuayana,MX,2022-03-24 03:01:10,18.7333,-103.6833,66.74,72,22,3.29
156,Itarema,BR,2022-03-24 03:01:10,-2.9248,-39.9167,75.72,90,100,7.0
157,Kipini,KE,2022-03-24 03:01:11,-2.5257,40.5262,82.69,89,11,11.03
158,Sikonge,TZ,2022-03-24 03:01:11,-5.6333,32.7667,61.97,89,70,3.65
159,Kavaratti,IN,2022-03-24 03:01:12,10.5669,72.642,83.07,68,87,5.41
160,Clyde River,CA,2022-03-24 03:01:12,70.4692,-68.5914,-3.77,84,100,4.61
161,Mandalgovi,MN,2022-03-24 03:01:12,45.7625,106.2708,27.34,26,32,31.29
162,Saskylakh,RU,2022-03-24 03:01:13,71.9167,114.0833,-2.87,96,96,4.65
163,Poum,NC,2022-03-24 03:01:13,-20.2333,164.0167,80.31,76,88,4.25
164,Faanui,PF,2022-03-24 03:01:14,-16.4833,-151.75,81.07,73,100,8.75
165,Huarmey,PE,2022-03-24 03:01:14,-10.0681,-78.1522,70.7,83,99,8.68
166,Saint Anthony,US,2022-03-24 03:00:34,45.0205,-93.218,35.2,81,100,17.27
167,Lorengau,PG,2022-03-24 03:01:15,-2.0226,147.2712,85.17,69,99,6.8
168,Tefe,BR,2022-03-24 03:01:16,-3.3542,-64.7114,74.59,99,100,1.52
169,Verkhoyansk,RU,2022-03-24 03:01:16,67.5447,133.385,3.04,84,97,3.38
170,Zwedru,LR,2022-03-24 03:01:16,6.0667,-8.1281,73.13,99,99,2.33
171,Sitka,US,2022-03-24 03:01:17,57.0531,-135.33,40.89,75,100,10.36
172,Hobyo,SO,2022-03-24 03:01:17,5.3505,48.5268,79.48,77,18,6.62
173,Yerbogachen,RU,2022-03-24 03:01:18,61.2767,108.0108,23.67,88,100,7.16
174,Rio Grande,BR,2022-03-24 02:56:59,-32.035,-52.0986,71.71,83,100,10.2
175,Garowe,SO,2022-03-24 03:01:18,8.4054,48.4845,72.12,84,4,4.68
176,Kapaa,US,2022-03-24 03:01:19,22.0752,-159.319,82.38,76,98,5.01
177,Itacoatiara,BR,2022-03-24 03:01:19,-3.1431,-58.4442,74.98,97,95,2.93
178,Sept-Iles,CA,2022-03-24 03:02:20,50.2001,-66.3821,18.77,82,3,7.67
179,California City,US,2022-03-24 03:02:20,35.1258,-117.9859,74.61,20,0,6.91
180,Nizwa,OM,2022-03-24 03:02:21,22.9333,57.5333,75.04,21,1,2.64
181,Gat,IL,2022-03-24 03:02:21,31.61,34.7642,48.4,100,46,10.45
182,Marzuq,YE,2022-03-24 03:02:22,14.4,46.4667,67.68,63,94,5.12
183,Waterfoot,GB,2022-03-24 03:02:23,53.6929,-2.2525,45.97,82,19,1.36
184,Nanortalik,GL,2022-03-24 03:02:23,60.1432,-45.2371,20.53,85,61,5.73
185,Haines Junction,CA,2022-03-24 03:02:24,60.7522,-137.5108,24.96,92,100,5.17
186,Srednekolymsk,RU,2022-03-24 03:02:24,67.45,153.6833,10.76,85,97,5.61
187,Mavrovi Anovi,MK,2022-03-24 03:02:25,41.7025,20.7564,28.62,53,0,4.36
188,Pervomayskoye,RU,2022-03-24 03:02:26,43.919,46.7102,37.13,61,12,21.56
189,Constitucion,CL,2022-03-24 03:01:38,-35.3333,-72.4167,55.04,55,0,12.68
190,Airai,TL,2022-03-24 03:02:26,-8.9266,125.4092,72.43,65,98,2.95
191,Teya,RU,2022-03-24 03:02:27,60.3778,92.6267,19.11,87,100,4.03
192,Lavrentiya,RU,2022-03-24 03:02:27,65.5833,-171.0,8.67,81,1,5.35
193,Ancud,CL,2022-03-24 03:02:27,-41.8697,-73.8203,47.23,77,8,4.12
194,Vryburg,ZA,2022-03-24 03:02:28,-26.9566,24.7284,60.69,78,60,2.8
195,Sayyan,YE,2022-03-24 03:02:28,15.1718,44.3244,57.13,65,13,1.68
196,Roswell,US,2022-03-24 03:02:29,34.0232,-84.3616,63.55,61,20,10.36
197,Skjervoy,NO,2022-03-24 03:02:29,70.0311,20.9714,30.2,64,100,7.43
198,Chokurdakh,RU,2022-03-24 03:02:29,70.6333,147.9167,2.8,90,99,0.13
199,Thinadhoo,MV,2022-03-24 03:02:31,0.5333,72.9333,83.55,66,2,17.43
200,Lebyazhye,RU,2022-03-24 03:02:31,55.2689,66.4947,30.69,87,100,22.84
201,Nelson,NZ,2022-03-24 03:02:33,-41.2833,173.2833,74.28,89,100,1.01
202,Znamenskoye,RU,2022-03-24 03:02:33,57.1281,73.8282,20.98,95,98,5.88
203,Tairua,NZ,2022-03-24 03:02:34,-37.0167,175.85,68.86,79,77,20.45
204,Samarai,PG,2022-03-24 03:02:34,-10.6167,150.6667,86.86,66,14,12.48
205,Mahon,ES,2022-03-24 03:02:34,39.8885,4.2658,54.16,87,100,14.97
206,Imbituba,BR,2022-03-24 03:02:35,-28.24,-48.6703,73.81,93,100,14.05
207,At-Bashi,KG,2022-03-24 03:02:35,41.1702,75.8106,30.24,89,99,2.98
208,Dungarpur,IN,2022-03-24 03:02:36,23.8333,73.7167,84.92,20,66,3.69
209,Saint-Augustin,CA,2022-03-24 03:02:36,51.226,-58.6502,25.72,73,19,23.42
210,Namibe,AO,2022-03-24 03:02:36,-15.1961,12.1522,73.71,86,87,5.17
211,Pacific Grove,US,2022-03-24 03:02:37,36.6177,-121.9166,55.87,89,28,4.0
212,Ambulu,ID,2022-03-24 03:02:37,-8.345,113.6058,84.42,69,100,0.45
213,Sabha,LY,2022-03-24 03:02:38,27.0377,14.4283,48.02,38,0,10.51
214,Nizhniy Bestyakh,RU,2022-03-24 03:02:38,61.9594,129.9086,13.48,62,0,2.24
215,Aswan,EG,2022-03-24 03:02:39,24.0934,32.907,53.24,28,3,9.75
216,Kholtoson,RU,2022-03-24 02:58:21,50.2981,103.3097,21.49,57,100,11.27
217,Vila Velha,BR,2022-03-24 03:00:37,-20.3297,-40.2925,71.94,88,42,2.73
218,Mahebourg,MU,2022-03-24 03:01:08,-20.4081,57.7,79.25,83,40,5.75
219,Cidreira,BR,2022-03-24 03:02:40,-30.1811,-50.2056,70.92,84,100,9.4
220,Goderich,CA,2022-03-24 03:01:32,43.7501,-81.7165,37.9,93,100,26.22
221,Grindavik,IS,2022-03-24 03:02:40,63.8424,-22.4338,43.27,100,100,19.57
222,Deputatskiy,RU,2022-03-24 03:02:41,69.3,139.9,4.98,87,100,1.36
223,Kieta,PG,2022-03-24 03:02:41,-6.2167,155.6333,84.04,70,85,4.97
224,Salalah,OM,2022-03-24 03:03:42,17.0151,54.0924,74.26,43,6,2.17
225,Marsaxlokk,MT,2022-03-24 03:03:42,35.8419,14.5431,47.01,87,0,4.61
226,Vestmanna,FO,2022-03-24 03:03:42,62.1564,-7.1664,43.72,93,100,3.44
227,Abasolo,MX,2022-03-24 03:03:43,20.45,-101.5167,58.59,11,70,5.32
228,Torbay,CA,2022-03-24 03:00:35,47.6666,-52.7314,30.27,87,93,19.35
229,Bastia,FR,2022-03-24 03:03:43,42.6667,9.3333,49.3,47,0,6.91
230,Sakakah,SA,2022-03-24 03:03:44,29.9697,40.2064,46.42,45,0,5.08
231,Mbekenyera,TZ,2022-03-24 03:03:44,-10.0,38.9833,69.67,98,94,2.21
232,Adrar,MR,2022-03-24 03:02:20,20.5022,-10.0711,66.11,27,0,10.98
233,Narsaq,GL,2022-03-24 03:03:12,60.9167,-46.05,23.22,79,85,6.62
234,Port Hardy,CA,2022-03-24 03:03:45,50.6996,-127.4199,44.78,87,75,3.44
235,Faro,PT,2022-03-24 03:00:34,37.0194,-7.9322,55.18,94,40,13.8
236,Najran,SA,2022-03-24 02:59:57,17.4924,44.1277,70.45,53,17,5.48
237,Kildinstroy,RU,2022-03-24 03:03:47,68.8049,33.1,25.11,100,75,4.47
238,Nabire,ID,2022-03-24 03:03:47,-3.3667,135.4833,85.6,66,80,5.06
239,Vyshhorod,UA,2022-03-24 03:03:47,50.5848,30.4898,45.93,79,5,8.32
240,Alihe,CN,2022-03-24 03:03:48,50.5667,123.7167,31.23,79,100,5.39
241,Coihaique,CL,2022-03-24 03:03:48,-45.5752,-72.0662,47.01,97,45,8.77
242,Algarrobo,CO,2022-03-24 03:00:15,10.1869,-74.5753,80.91,65,7,3.74
243,Kavieng,PG,2022-03-24 03:03:49,-2.5744,150.7967,84.29,71,100,8.77
244,Bambous Virieux,MU,2022-03-24 03:03:49,-20.3428,57.7575,79.21,83,40,5.75
245,Baza,ES,2022-03-24 03:03:50,37.4907,-2.7726,48.42,89,100,8.99
246,Pasighat,IN,2022-03-24 03:03:50,28.0667,95.3333,84.85,38,79,2.98
247,Yichun,CN,2022-03-24 03:03:50,47.7,128.9,37.49,60,6,1.01
248,Erzin,TR,2022-03-24 03:03:51,36.9559,36.2,43.57,90,100,3.47
249,Liverpool,GB,2022-03-24 03:00:44,53.4106,-2.9779,45.82,77,0,2.3
250,Qujing,CN,2022-03-24 03:03:52,25.4833,103.7833,62.42,77,99,17.36
251,Labytnangi,RU,2022-03-24 03:03:52,66.6572,66.4183,14.18,84,100,10.76
252,Lagoa,PT,2022-03-24 03:03:54,39.05,-27.9833,59.09,69,77,13.44
253,Chacabuco,AR,2022-03-24 03:03:54,-34.6417,-60.4739,58.23,95,100,20.87
254,Quelimane,MZ,2022-03-24 03:03:54,-17.8786,36.8883,69.24,97,4,3.44
255,Tete,MZ,2022-03-24 03:03:55,-16.1564,33.5867,68.31,97,6,1.52
256,Luderitz,NA,2022-03-24 03:03:55,-26.6481,15.1594,63.27,82,5,9.91
257,Vao,NC,2022-03-24 03:03:56,-22.6667,167.4833,77.38,64,68,12.55
258,Antalaha,MG,2022-03-24 03:03:56,-14.9003,50.2788,75.78,91,10,5.61
259,Leningradskiy,RU,2022-03-24 03:03:57,69.3833,178.4167,11.46,92,85,8.16
260,Hambantota,LK,2022-03-24 03:03:57,6.1241,81.1185,80.94,100,20,4.61
261,Kabinda,CD,2022-03-24 03:03:57,-6.1333,24.4833,64.96,93,59,4.0
262,Sao Lourenco,BR,2022-03-24 03:03:58,-22.1164,-45.0544,61.11,95,26,1.19
263,Chimore,BO,2022-03-24 03:03:58,-16.9833,-65.1333,74.03,98,99,2.1
264,Isangel,VU,2022-03-24 03:03:59,-19.55,169.2667,80.71,83,99,7.92
265,Sisimiut,GL,2022-03-24 03:03:59,66.9395,-53.6735,-0.33,72,46,9.4
266,Maracacume,BR,2022-03-24 03:04:00,-2.0428,-45.9592,73.31,99,100,2.06
267,Saint-Michel-Des-Saints,CA,2022-03-24 03:04:00,46.6834,-73.9159,25.29,87,75,11.59
268,Victoria,HK,2022-03-24 02:59:50,22.2855,114.1577,66.94,89,100,11.01
269,Wlodawa,PL,2022-03-24 03:04:01,51.55,23.55,34.95,65,0,7.87
270,Sawakin,SD,2022-03-24 03:04:01,19.1059,37.3321,68.74,72,41,12.28
271,Camana,PE,2022-03-24 03:05:02,-16.6228,-72.7111,69.4,80,78,6.29
272,Hirna,ET,2022-03-24 03:05:02,9.2167,41.1,61.03,77,61,2.3
273,Kushiro,JP,2022-03-24 03:05:02,42.975,144.3747,36.82,76,100,5.93
274,Arvika,SE,2022-03-24 03:05:03,59.6553,12.5852,32.61,91,68,2.53
275,Sheboygan,US,2022-03-24 03:05:03,43.7333,-87.9334,39.38,95,100,16.11
276,Tautira,PF,2022-03-24 03:01:29,-17.7333,-149.15,80.65,72,94,9.46
277,Alanya,TR,2022-03-24 03:05:05,36.5438,31.9998,39.33,49,47,6.85
278,Bathsheba,BB,2022-03-24 03:05:05,13.2167,-59.5167,77.61,78,40,20.71
279,Araceli,PH,2022-03-24 03:05:06,10.5529,119.9913,83.91,74,66,14.09
280,Mancora,PE,2022-03-24 03:05:07,-4.1078,-81.0475,78.98,64,97,12.03
